Rk,Year,Conf,Overall W,Overall L,Overall T,Overall Pct,Conf W,Conf L,Conf T,Conf Pct,SRS,SOS,AP Pre,AP High,AP Post,CFP High,CFP Final,Coach(es),Bowl,Notes
31,1995,SEC,8,4,0,0.667,5,3,0,0.625,10.38,1.79,6,5,22,,,Terry Bowden (8-4),Outback Bowl (L),
32,1994,SEC,9,1,1,0.864,6,1,1,0.813,15.59,2.5,11,3,9,,,Terry Bowden (9-1-1),,
33,1993,SEC,11,0,0,1,8,0,0,1,13.29,-0.35,,3,4,,,Terry Bowden (11-0),,
34,1992,SEC,5,5,1,0.5,2,5,1,0.313,1.51,1.51,,,,,,Pat Dye (5-5-1),,
35,1991,SEC,5,6,0,0.455,2,5,0,0.286,2.75,2.57,17,13,,,,Pat Dye (5-6),,
36,1990,SEC,8,3,1,0.708,4,2,1,0.643,7.8,1.97,3,2,19,,,Pat Dye (8-3-1),Peach Bowl (W),
37,1989,SEC,10,2,0,0.833,6,1,0,0.857,16.83,6.08,8,4,6,,,Pat Dye (10-2),Hall of Fame Bowl (W),
38,1988,SEC,10,2,0,0.833,6,1,0,0.857,16.61,2.19,7,4,8,,,Pat Dye (10-2),Sugar Bowl (L),
39,1987,SEC,9,1,2,0.833,5,0,1,0.917,18.25,6.5,5,3,7,,,Pat Dye (9-1-2),Sugar Bowl (T),
40,1986,SEC,10,2,0,0.833,4,2,0,0.667,15.7,-0.05,14,5,6,,,Pat Dye (10-2),Citrus Bowl (W),
41,1985,SEC,8,4,0,0.667,3,3,0,0.5,15.03,7.7,2,1,,,,Pat Dye (8-4),Cotton Bowl (L),
42,1984,SEC,9,4,0,0.692,4,2,0,0.667,12.08,6.39,1,1,14,,,Pat Dye (9-4),Liberty Bowl (W),
43,1983,SEC,11,1,0,0.917,6,0,0,1,23.43,12.18,5,3,3,,,Pat Dye (11-1),Sugar Bowl (W),
44,1982,SEC,9,3,0,0.75,4,2,0,0.667,14.3,6.72,,14,14,,,Pat Dye (9-3),Tangerine Bowl (W),
45,1981,SEC,5,6,0,0.455,2,4,0,0.333,7.66,6.39,,,,,,Pat Dye (5-6),,
46,1980,SEC,5,6,0,0.455,0,6,0,0,7.5,8.05,19,18,,,,Doug Barfield (5-6),,
47,1979,SEC,8,3,0,0.727,4,2,0,0.667,13.26,5.08,,13,16,,,Doug Barfield (8-3),,
48,1978,SEC,6,4,1,0.591,3,2,1,0.583,8.16,5.88,,19,,,,Doug Barfield (6-4-1),,
49,1977,SEC,5,6,0,0.455,4,2,0,0.667,5.95,9.13,,,,,,Doug Barfield (5-6),,record adjusted to 6-5-0 by NCAA
50,1976,SEC,3,8,0,0.273,2,4,0,0.333,2.42,9.33,,,,,,Doug Barfield (3-8),,record adjusted to 4-7-0 by NCAA
51,1975,SEC,3,6,2,0.364,1,4,1,0.25,2.4,7.86,8,7,,,,Ralph Jordan (3-6-2),,record adjusted to 4-6-1 by NCAA
52,1974,SEC,10,2,0,0.833,4,2,0,0.667,19.49,8.15,,5,8,,,Ralph Jordan (10-2),Gator Bowl (W),
53,1973,SEC,6,6,0,0.5,2,5,0,0.286,6.94,8.78,13,11,,,,Ralph Jordan (6-6),Sun Bowl (L),
54,1972,SEC,10,1,0,0.909,6,1,0,0.857,19.16,11.61,,5,5,,,Ralph Jordan (10-1),Gator Bowl (W),
55,1971,SEC,9,2,0,0.818,5,1,0,0.833,18.69,8.42,6,4,12,,,Ralph Jordan (9-2),Sugar Bowl (L),
56,1970,SEC,9,2,0,0.818,5,2,0,0.714,21.31,8.77,20,6,10,,,Ralph Jordan (9-2),Gator Bowl (W),
57,1969,SEC,8,3,0,0.727,5,2,0,0.714,17.57,7.75,20,11,20,,,Ralph Jordan (8-3),Bluebonnet Bowl (L),
58,1968,SEC,7,4,0,0.636,4,2,0,0.667,16.02,7.93,,12,16,,,Ralph Jordan (7-4),Sun Bowl (W),
59,1967,SEC,6,4,0,0.6,3,3,0,0.5,14.12,6.72,,,,,,Ralph Jordan (6-4),,
60,1966,SEC,4,6,0,0.4,1,5,0,0.167,2.71,7.21,,,,,,Ralph Jordan (4-6),,
61,1965,SEC,5,5,1,0.5,4,1,1,0.75,11.13,11.04,,,,,,Ralph Jordan (5-5-1),Liberty Bowl (L),
62,1964,SEC,6,4,0,0.6,3,3,0,0.5,8.09,5.39,8,7,,,,Ralph Jordan (6-4),,
63,1963,SEC,9,2,0,0.818,6,1,0,0.857,15.47,7.65,,5,5,,,Ralph Jordan (9-2),Orange Bowl (L),
64,1962,SEC,6,3,1,0.65,4,3,0,0.571,7.29,6.29,,10,,,,Ralph Jordan (6-3-1),,
65,1961,SEC,6,4,0,0.6,3,4,0,0.429,9.47,6.07,,,,,,Ralph Jordan (6-4),,
